ZaporednaStevilkaKD,MesecStoritve,UraStoritve,DanVTednu,PUStoritveKD,Povratnik,OpisKD,PoglavjeKD,GospodarskiKriminal,OrganiziranKriminal,MladoletniskaKriminaliteta,Poskus,KriminalisticnaOznacba1,KriminalisticnaOznacba2,KriminalisticnaOznacba3,UporabljenoSredstvo1,UporabljenoSredstvo2,UporabljenoSredstvo3,UporabljenoSredstvo4,UpravnaEnotaStoritve,OpisKraja,LetoZakljucnegaDokumenta,VrstaZakljucnegaDokumenta,ZaporednaStevilkaOsebeVKD,VrstaOsebe,StarostniRazred,Spol,Drzavljanstvo,Poskodba,VplivAlkohola,VplivMamil,OrganiziranaZdruzba,Skoda,Substanca
018696,2019-02-01 00:00:00,20:00-20:59,PONEDELJEK,PU LJUBLJANA,DA,KZ12/296*/2// - NASILNIŠTVO,KD ZOPER JAVNI RED IN MIR,SPLOŠNA, , ,NE,POVZROÈITEV LAHKE TELESNE POŠKODBE - O,,,199-NI PREDMETA,,,,LJUBLJANA,OSTALO,2019,OVADBA,018696001,OVADENI OSUMLJENEC,34-44,MOŠKI,SLOVENSKO,,DA,NN,NE,BREZ,True
019091,2019-02-01 00:00:00,23:00-23:59,SREDA,PU MARIBOR,NE,KZ12/191*/1// - NASILJE V DRUŽINI,"KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE",SPLOŠNA, , ,NE,GROŽNJA Z NAPADOM NA ŽIVLJENJE/TELO - O,PREGON IZ SKUPNEGA PREBIVALIŠÈA - O,,199-NI PREDMETA,,,,PTUJ,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,019091004,OVADENI OSUMLJENEC,24-34,MOŠKI,SLOVENSKO,,DA,NE,NE,BREZ,True
021150,2019-02-01 00:00:00,13:00-13:59,TOREK,PU NOVO MESTO,DA,KZ12/210*/1// - ODVZEM MOTORNEGA VOZILA,KD ZOPER PREMOŽENJE,SPLOŠNA, ,MLADOLETNIŠKA,NE,ZAPUSTITEV NA NEZNANEM KRAJU - O,,,223-OSEBNI AVTOMOBIL,,,,ÈRNOMELJ,OSTALO,2019,OVADBA,021150002,OSTALO,16-18,MOŠKI,SLOVENSKO,,DA,DA,NE,BREZ,True
023210,2019-03-01 00:00:00,16:00-16:59,NEDELJA,PU KRANJ,DA,KZ12/324*/3// - NEVARNA VOŽNJA V CESTNEM PROMETU,KD ZOPER VARNOST JAVNEGA PROMETA,SPLOŠNA, , ,NE,VOŽNJA POD VPLIVOM ALKOHOLA - O,,,473-OSEBNO VOZILO,,,,RADOVLJICA,OBMOÈJE PROMETA,2019,OVADBA,023210001,OVADENI OSUMLJENEC,NAD 64,MOŠKI,SLOVENSKO,,DA,NE,NE,BREZ,True
025128,2019-03-01 00:00:00,22:00-22:59,PETEK,PU CELJE,NE,KZ12/191*/1// - NASILJE V DRUŽINI,"KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE",SPLOŠNA, , ,NE,GRDO RAVNANJE - O,SPRAVLJANJE V PODREJENI POLOŽAJ - O,,199-NI PREDMETA,,,,VELENJE,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,025128002,OSTALO,18-24,MOŠKI,SLOVENSKO,,DA,NE,NE,BREZ,True
025584,2019-03-01 00:00:00,01:00-01:59,TOREK,PU KRANJ,NE,KZ12/115*/1// - UBOJ,KD ZOPER ŽIVLJENJE IN TELO,SPLOŠNA, , ,NE,NI OZNAKE,,,201-NOŽ,,,,RADOVLJICA,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,025584001,OVADENI OSUMLJENEC,54-64,MOŠKI,SLOVENSKO,,DA,DA,NE,BREZ,True
026085,2019-03-01 00:00:00,08:00-08:59,ÈETRTEK,PU MARIBOR,NE,KZ12/115*/1// - UBOJ,KD ZOPER ŽIVLJENJE IN TELO,SPLOŠNA, , ,NE,DOLGOTRAJNI SPOR,,,201-NOŽ,,,,PTUJ,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,POROÈILO,026085002,OSTALO,54-64,MOŠKI,SLOVENSKO,,NE,DA,NE,BREZ,True
026406,2019-03-01 00:00:00,03:00-03:59,SOBOTA,PU MARIBOR,NE,KZ12/191*/1// - NASILJE V DRUŽINI,"KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE",SPLOŠNA, , ,NE,GROŽNJA Z NAPADOM NA ŽIVLJENJE/TELO - O,,,199-NI PREDMETA,,,,PTUJ,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,026406002,OVADENI OSUMLJENEC,44-54,MOŠKI,TUJE,,DA,NE,NE,BREZ,True
028421,2019-04-01 00:00:00,21:00-21:59,ÈETRTEK,PU CELJE,NE,KZ12/191*/1// - NASILJE V DRUŽINI,"KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE",SPLOŠNA, , ,NE,PRETEPANJE - O,GRDO RAVNANJE - O,PREGON IZ SKUPNEGA PREBIVALIŠÈA - O,219-ORODJE,,,,VELENJE,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,028421001,OVADENI OSUMLJENEC,44-54,MOŠKI,SLOVENSKO,,DA,NE,NE,BREZ,True
028538,2019-04-01 00:00:00,16:00-16:59,PETEK,PU LJUBLJANA,NE,KZ12/192*/1// - ZANEMARJANJE MLADOLETNE OSEBE IN SUROVO RAVNANJE,"KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE",SPLOŠNA, , ,NE,ZDRAVSTVENO ZANEMARJANJE - O,VZGOJNO ZANEMARJANJE - O,,199-NI PREDMETA,,,,LJUBLJANA,"NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.)",2019,OVADBA,028538001,OSTALO,44-54,ŽENSKI,SLOVENSKO,,DA,NE,NE,BREZ,True
