ZaporednaStevilkaKD;MesecStoritve;UraStoritve;DanVTednu;PUStoritveKD;Povratnik;OpisKD;PoglavjeKD;GospodarskiKriminal;OrganiziranKriminal;MladoletniskaKriminaliteta;Poskus;KriminalisticnaOznacba1;KriminalisticnaOznacba2;KriminalisticnaOznacba3;UporabljenoSredstvo1;UporabljenoSredstvo2;UporabljenoSredstvo3;UporabljenoSredstvo4;UpravnaEnotaStoritve;OpisKraja;LetoZakljucnegaDokumenta;VrstaZakljucnegaDokumenta;ZaporednaStevilkaOsebeVKD;VrstaOsebe;StarostniRazred;Spol;Drzavljanstvo;Poskodba;VplivAlkohola;VplivMamil;OrganiziranaZdruzba;Skoda
054165;10.2019;10:00-10:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/158*/2// - RAZŽALITEV;KD ZOPER ÈAST IN DOBRO IME;SPLOŠNA; ; ;NE;OBJAVA NA INTERNETU;;;291-RAÈUNALNIŠKA OPREMA IN SREDSTVA;;;;MURSKA SOBOTA;OSTALO;2019;OVADBA;054165001;ŽRTEV;44-54;ŽENSKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;BREZ
054279;10.2019;05:00-05:59;ÈETRTEK;PU MURSKA SOBOTA;NE;KZ12/204*/1/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;NI OZNAKE;;;182-NAFTA;;;;MURSKA SOBOTA;OBMOÈJE PROMETA;2019;OVADBA;054279001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;TUJE;;NN;NN;NE;1.000 - 10.000 EUR
054281;10.2019;07:00-07:59;ÈETRTEK;PU MURSKA SOBOTA;NE;KZ12/204*/1/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;NI OZNAKE;;;182-NAFTA;;;;MURSKA SOBOTA;OBMOÈJE PROMETA;2019;OVADBA;054281001;ŽRTEV;44-54;MOŠKI;TUJE;BREZ POŠKODBE;NN;NN;NE;100 - 1.000 EUR
054405;10.2019;11:00-11:59;ÈETRTEK;PU MURSKA SOBOTA;NE;KZ12/204*/1/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;IZ PRTLJAGE;;;054-DOKUMENTI IN JAVNE LISTINE;048-DENAR;182-NAFTA;;MURSKA SOBOTA;OBMOÈJE PROMETA;2019;OVADBA;054405001;ŽRTEV;24-34;MOŠKI;TUJE;BREZ POŠKODBE;NN;NN;NE;1.000 - 10.000 EUR
054440;10.2019;17:00-17:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/204*/1/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;NI OZNAKE;;;185-NAKIT;048-DENAR;;;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2019;OVADBA;054440001;OVADENI OSUMLJENEC;34-44;ŽENSKI;SLOVENSKO;;NN;NN;NE;BREZ
054586;10.2019;10:00-10:59;SOBOTA;PU MURSKA SOBOTA;NE;KZ12/205*/1/1 S/ - VELIKA TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;DA;Z VLOMOM- O;SKOZI OKNO;;199-NI PREDMETA;;;;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2019;OVADBA;054586001;ŽRTEV;54-64;MOŠKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;BREZ
054606;10.2019;11:00-11:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/204*/2/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;;;205-OBLAÈILA;;;;MURSKA SOBOTA;PRODAJNI PROSTOR;2019;OVADBA;054606001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;100 - 1.000 EUR
054658;10.2019;19:00-19:59;NEDELJA;PU MURSKA SOBOTA;NE;KZ12/190*/1// - ODVZEM MLADOLETNE OSEBE;KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE;SPLOŠNA; ; ;NE;ONEMOGOÈANJE ODLOÈBE O DODELITVI - O;;;152-LISTINE;;;;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2019;POROÈILO;054658001;OSTALO;34-44;ŽENSKI;SLOVENSKO;;NE;NE;NE;BREZ
054682;10.2019;19:00-19:59;NEDELJA;PU MURSKA SOBOTA;NE;KZ12/190*/1// - ODVZEM MLADOLETNE OSEBE;KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE;SPLOŠNA; ; ;NE;ONEMOGOÈANJE ODLOÈBE O DODELITVI - O;;;152-LISTINE;;;;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2019;POROÈILO;054682001;OSTALO;34-44;ŽENSKI;SLOVENSKO;;NE;NE;NE;BREZ
054688;10.2019;18:00-18:59;NEDELJA;PU MURSKA SOBOTA;NE;KZ12/204*/2/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;;;182-NAFTA;;;;MURSKA SOBOTA;PRODAJNI PROSTOR;2019;OVADBA;054688001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;100 - 1.000 EUR
054737;08.2019;15:00-15:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/211*/1/S/ - GOLJUFIJA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;KLASIÈNA - O;;;048-DENAR;;;;MURSKA SOBOTA;PRODAJNI PROSTOR;2019;OVADBA;054737001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;100 - 1.000 EUR
